clave,descripcion,clave_transporte,nacionalidad,designador_iata,linea_ferrea
EA0408,Narita,03,Japón,NRT,
EA0409,Sendai,03,Japón,SDJ,
EA0410,Luxembourg,03,Luxemburgo,LUX,
EA0411,Licenciado Jesus Teran Peredo,03,México,AGU,
EA0412,General Alberto L. Salinas C.,03,México,ESE,
EA0413,General Rodolfo Sanchez Taboada,03,México,MXL,
EA0414,General Abelardo L. Rodriguez,03,México,TIJ,
EA0415,Cabo San Lucas,03,México,CSL,
EA0416,General Manuel Marquez De Leon,03,México,LAP,
EA0417,Loreto,03,México,LTO,
EA0418,Los Cabos,03,México,SJD,
EA0419,Ciudad Del Carmen,03,México,CME,
EA0420,Ingeniero Alberto Acuña Ongay,03,México,CPE,
EA0421,Palenque,03,México,PQM,
EA0422,Tapachula,03,México,TAP,
